#{"t_start": 1789350253.154662, "env_id": "Walker2d-v5"}
r,l,t,task_return,displacement,episode_steps,full_episode
-9.41338,15,1.3896,-9.413380196672874,-0.18695034469668576,15,0.0
-3.299699,10,1.391598,-3.2996985140372646,-0.09812583127608494,10,0.0
1.03304,11,1.393715,1.033039877040152,-0.0714377694738073,11,0.0
-3.887574,9,1.395574,-3.8875742357122753,-0.09487698254577148,9,0.0
0.102105,13,1.398208,0.10210529756034148,-0.09481259476622564,13,0.0
-3.958242,13,1.400573,-3.9582424009163804,-0.12732448927699844,13,0.0
14.208062,42,1.412674,12.31933676910478,-0.22836839426780992,42,0.0
-8.313986,11,1.414751,-8.313985789898183,-0.14622878417842355,11,0.0
8.817098,42,1.428453,6.996534530935292,-0.2709092213302818,42,0.0
0.203533,11,1.43076,0.20353284568871435,-0.07807741802764155,11,0.0
-5.48234,10,1.432723,-5.482339997594426,-0.11560561356268968,10,0.0
-4.877467,16,1.436538,-4.989946889880794,-0.15953848124447265,16,0.0
-4.059271,12,1.439399,-4.0592708238911275,-0.12014700532931717,12,0.0
-4.949989,17,1.443332,-5.164002961836183,-0.16889865416387756,17,0.0
-0.747659,15,1.446505,-0.7476586249965327,-0.11757885407085053,15,0.0
1.740235,27,1.454246,0.6755061446071882,-0.20196985917289756,27,0.0
3.803211,15,1.45732,3.803211421322479,-0.08121955892051808,15,0.0
4.812442,18,1.46201,4.540385289011086,-0.09925885677143537,18,0.0
-2.116142,27,1.469676,-3.1208886086351764,-0.23234558498961297,27,0.0
6.943319,20,1.475098,6.472287741745778,-0.09973959357552266,20,0.0
0.230659,33,1.486254,-1.143460308244841,-0.2643213956145303,33,0.0
3.296437,17,1.671868,3.091200686054227,-0.10286305222757967,17,0.0
2.602144,19,1.676553,2.2189072286155147,-0.1258170117246702,19,0.0
-2.552872,12,1.67917,-2.5528715347902846,-0.10815208350832313,12,0.0
-7.283241,13,1.681666,-7.2832405649165315,-0.15394593877292623,13,0.0
-1.292631,22,1.687257,-1.9786313527130903,-0.18330686673753516,22,0.0
-0.60345,12,1.690007,-0.6034504225101767,-0.09250220224156713,12,0.0
2.688609,20,1.695191,2.226705590048347,-0.13369234612290185,20,0.0
4.03862,32,1.704689,2.6691859623270333,-0.22582069718719106,32,0.0
4.344518,34,1.71506,2.8387489901793095,-0.24045429155906073,34,0.0
-4.231863,18,1.71907,-4.510113679921451,-0.17163482270763228,18,0.0
-4.317784,16,1.722294,-4.427644791843499,-0.1550067641050975,16,0.0
-2.821372,12,1.724603,-2.8213724903320867,-0.11028378926321937,12,0.0
4.794416,28,1.733159,3.6813652327978006,-0.1859498726956118,28,0.0
-1.67824,10,1.735211,-1.6782399967023252,-0.08518615170321546,10,0.0
-2.97912,22,1.740997,-3.6496358242117055,-0.19660771176088468,22,0.0
-2.906212,16,1.744425,-3.0154407833575214,-0.14376779089503955,16,0.0
19.08895,45,1.759252,17.061038190370546,-0.21435114748878675,45,0.0
11.413251,31,1.76893,10.187844857513454,-0.15777738680505743,31,0.0
2.859176,24,1.775594,2.013638898732172,-0.1672360241161508,24,0.0
6.127424,16,1.779391,6.017113566976374,-0.07153959933019909,16,0.0
-0.73569,27,1.787561,-1.7091319647706102,-0.22101695286247502,27,0.0
-6.239486,16,1.791345,-6.349697919258085,-0.17037735047041017,16,0.0
-0.97108,11,1.793675,-0.971080260197817,-0.0874839315811932,11,0.0
-0.471634,19,1.798689,-0.8770942096350829,-0.15049760467073628,19,0.0
11.357053,29,1.807192,10.161089096510178,-0.1420119376615558,29,0.0
0.830313,18,1.991965,0.5279562814545327,-0.13133994482655081,18,0.0
4.222831,26,1.9994,3.217235415466198,-0.17363768463496065,26,0.0
-3.21097,12,2.001817,-3.2109700177889806,-0.11339258187048176,12,0.0
3.715899,59,2.021992,1.3300930312258923,-0.45177117384969684,59,0.0
3.061187,16,2.025499,2.951346494308093,-0.09596943599131423,16,0.0
-6.652594,21,2.031082,-7.244187052707735,-0.2174032387519001,21,0.0
2.947384,23,2.036947,2.2314011004338514,-0.1575096975814145,23,0.0
7.195904,22,2.042842,6.51946987602794,-0.11534384500552494,22,0.0
15.554864,40,2.05625,13.774897646188988,-0.2008828758287633,40,0.0
-1.40623,21,2.061837,-1.9610714221160548,-0.17519048188647007,21,0.0
0.60103,14,2.064732,0.6010297540336894,-0.09884976781998274,14,0.0
16.654916,30,2.07351,15.46485648157997,-0.10755631330894383,30,0.0
-4.310093,11,2.075717,-4.310092791435302,-0.11420408323954785,11,0.0
5.453598,21,2.081285,4.890875518224597,-0.12039725494369549,21,0.0
1.285044,25,2.088034,0.4470149452439929,-0.18781142871706527,25,0.0
-2.275069,17,2.091542,-2.4737708130277536,-0.14734507551743375,17,0.0
4.816617,21,2.096346,4.227866494194846,-0.12569314347827615,21,0.0
7.087488,22,2.102498,6.458956648382021,-0.11579999022216993,22,0.0
13.13353,40,2.114727,11.395572507013725,-0.2197930606448638,40,0.0
3.342859,16,2.118387,3.232853880289588,-0.0937567501764922,16,0.0
0.742661,14,2.121253,0.7426609245841658,-0.09775276861413175,14,0.0
4.30791,21,2.126571,3.734729194734638,-0.1296586530814149,21,0.0
